time,server_time,dt,client,flags,health,pre_origin_x,pre_origin_y,pre_origin_z,post_origin_x,post_origin_y,post_origin_z,pre_velocity_x,pre_velocity_y,pre_velocity_z,post_velocity_x,post_velocity_y,post_velocity_z,head_x,head_y,head_z,body_movement_x,body_movement_y,body_movement_z,actual_body_movement_x,actual_body_movement_y,actual_body_movement_z,velocity_average_x,velocity_average_y,velocity_average_z,launch_x,launch_y,launch_z,launched,hands_anchored,body_bounced,player_trace_allsolid,player_trace_startsolid,launch_contact_intentional,command_teleporting,map_teleport_during_move,map_teleport_during_final_link,teleport_cooldown_active,gorilla_state_invalidated_for_teleport,gorilla_player_unstuck,final_stuck_startsolid,final_stuck_allsolid,teleport_time_frame_start,teleport_time_before_final_link,teleport_time_after_final_link,teleport_exit_nudge,command_teleport_target_x,command_teleport_target_y,command_teleport_target_z,origin_before_final_link_x,origin_before_final_link_y,origin_before_final_link_z,origin_after_final_link_x,origin_after_final_link_y,origin_after_final_link_z,velocity_before_final_link_x,velocity_before_final_link_y,velocity_before_final_link_z,velocity_after_final_link_x,velocity_after_final_link_y,velocity_after_final_link_z,angles_after_final_link_x,angles_after_final_link_y,angles_after_final_link_z,teleport_target_after_final_link_x,teleport_target_after_final_link_y,teleport_target_after_final_link_z,gorilla_unstick_from_x,gorilla_unstick_from_y,gorilla_unstick_from_z,gorilla_unstick_to_x,gorilla_unstick_to_y,gorilla_unstick_to_z,gorilla_last_safe_origin_x,gorilla_last_safe_origin_y,gorilla_last_safe_origin_z,final_stuck_trace_end_x,final_stuck_trace_end_y,final_stuck_trace_end_z,off_trace_start_x,off_trace_start_y,off_trace_start_z,off_desired_end_x,off_desired_end_y,off_desired_end_z,off_contact_anchor_x,off_contact_anchor_y,off_contact_anchor_z,off_movement_x,off_movement_y,off_movement_z,off_cmd_velocity_x,off_cmd_velocity_y,off_cmd_velocity_z,off_cmd_velocity_mag_field,off_cmd_velocity_mag_vec,off_colliding,off_previous_touching,off_touching,off_fallback_used,main_trace_start_x,main_trace_start_y,main_trace_start_z,main_desired_end_x,main_desired_end_y,main_desired_end_z,main_contact_anchor_x,main_contact_anchor_y,main_contact_anchor_z,main_movement_x,main_movement_y,main_movement_z,main_cmd_velocity_x,main_cmd_velocity_y,main_cmd_velocity_z,main_cmd_velocity_mag_field,main_cmd_velocity_mag_vec,main_colliding,main_previous_touching,main_touching,main_fallback_used
170.378690,146.857910,0.015221,0,4104,174.0,810.816040,1004.945496,-281.575043,810.640076,1005.154541,-281.390717,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,810.640076,1005.154541,-290.390717,-0.175964,0.209076,0.184326,-0.175964,0.209045,0.184326,-0.000023,-0.000027,-0.000046,0.000000,0.000000,0.000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,32.000000,0.000000,0.000000,0.000000,810.619141,1005.139343,-281.390717,810.619141,1005.139343,-281.390717,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,810.640076,1005.154541,-281.390717,810.640076,1005.154541,-281.390717,810.816040,1004.945496,-281.575043,810.619141,1005.139343,-281.390717,814.521179,1012.234802,-291.312592,820.750000,1015.500000,-279.625000,814.521179,1012.234802,-291.312592,-6.228821,-3.265198,-11.687592,0.125000,-0.750000,-1.000000,1.237643,1.256234,1,1,1,0,828.626892,1011.058350,-286.568756,822.750000,1007.375000,-298.625000,828.445312,1010.954102,-286.568756,5.876892,3.683350,12.056244,0.125000,-0.500000,0.250000,0.564162,0.572822,1,1,1,0
170.390374,146.873130,0.011685,0,4104,174.0,810.619141,1005.139343,-281.390717,810.602417,1005.358765,-281.331390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,810.602417,1005.358765,-290.331390,-0.016754,0.219452,0.059326,-0.016724,0.219421,0.059326,-0.000023,-0.000027,-0.000046,0.000000,0.000000,0.000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,32.000000,0.000000,0.000000,0.000000,810.579041,1005.344177,-281.331390,810.579041,1005.344177,-281.331390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,810.602417,1005.358765,-281.331390,810.602417,1005.358765,-281.331390,810.619141,1005.139343,-281.390717,810.579041,1005.344177,-281.331390,814.521179,1012.234802,-291.312592,820.500000,1015.375000,-279.750000,814.521179,1012.234802,-291.312592,-5.978821,-3.140198,-11.562592,0.125000,-0.625000,-1.000000,1.216002,1.185854,1,1,1,0,828.445312,1010.954102,-286.568756,822.500000,1007.375000,-298.250000,828.266479,1010.853333,-286.568756,5.945312,3.579102,11.681244,0.125000,-0.500000,0.250000,0.567931,0.572822,1,1,1,0
170.404041,146.884815,0.013667,0,4104,174.0,810.579041,1005.344177,-281.331390,810.285400,1005.763245,-281.022064,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,810.285400,1005.763245,-290.022064,-0.293671,0.419067,0.309326,-0.293640,0.419067,0.309326,-0.000023,-0.000027,-0.000046,0.000000,0.000000,0.000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,32.000000,0.000000,0.000000,0.000000,810.234131,1005.734192,-281.022064,810.234131,1005.734192,-281.022064,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,810.285400,1005.763245,-281.022064,810.285400,1005.763245,-281.022064,810.579041,1005.344177,-281.331390,810.234131,1005.734192,-281.022064,814.521179,1012.234802,-291.312592,820.625000,1015.125000,-280.625000,814.521179,1012.234802,-291.312592,-6.103821,-2.890198,-10.687592,0.125000,-0.625000,-1.000000,1.171382,1.185854,1,1,1,0,828.266479,1010.853333,-286.568756,822.750000,1007.125000,-297.875000,828.092163,1010.754028,-286.568756,5.516479,3.728333,11.306244,0.125000,-0.500000,0.250000,0.572224,0.572822,1,1,1,0
170.418196,146.898482,0.014155,0,4104,174.0,810.234131,1005.734192,-281.022064,810.165771,1005.916138,-280.962738,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,810.165771,1005.916138,-289.962738,-0.068329,0.181915,0.059326,-0.068359,0.181946,0.059326,-0.000023,-0.000027,-0.000046,0.000000,0.000000,0.000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,32.000000,0.000000,0.000000,0.000000,810.139221,1005.901978,-280.962738,810.139221,1005.901978,-280.962738,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,810.165771,1005.916138,-280.962738,810.165771,1005.916138,-280.962738,810.234131,1005.734192,-281.022064,810.139221,1005.901978,-280.962738,814.521179,1012.234802,-291.312592,820.250000,1015.250000,-280.625000,814.521179,1012.234802,-291.312592,-5.728821,-3.015198,-10.687592,0.125000,-0.625000,-0.875000,1.124837,1.082532,1,1,1,0,828.092163,1010.754028,-286.568756,822.500000,1007.375000,-297.375000,827.922363,1010.658142,-286.568756,5.592163,3.379028,10.806244,0.125000,-0.500000,0.250000,0.579209,0.572822,1,1,1,0
170.431815,146.912636,0.013619,0,4104,174.0,810.139221,1005.901978,-280.962738,810.110962,1005.848450,-281.028412,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,810.110962,1005.848450,-290.028412,-0.028229,-0.053528,-0.065674,-0.028259,-0.053528,-0.065674,-0.000023,-0.000027,-0.000046,0.000000,0.000000,0.000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,32.000000,0.000000,0.000000,0.000000,810.109253,1005.850159,-281.028412,810.109253,1005.850159,-281.028412,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,810.110962,1005.848450,-281.028412,810.110962,1005.848450,-281.028412,810.139221,1005.901978,-280.962738,810.109253,1005.850159,-281.028412,814.521179,1012.234802,-291.312592,820.125000,1015.500000,-280.500000,814.521179,1012.234802,-291.312592,-5.603821,-3.265198,-10.812592,0.125000,-0.625000,-0.875000,1.070597,1.082532,1,1,1,0,827.922363,1010.658142,-286.568756,822.375000,1007.500000,-297.250000,827.755066,1010.561768,-286.568756,5.547363,3.158142,10.681244,0.125000,-0.500000,0.375000,0.591141,0.637377,1,1,1,0
170.446042,146.926255,0.014227,0,4104,174.0,810.109253,1005.850159,-281.028412,809.997375,1005.998413,-281.031586,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,809.997375,1005.998413,-290.031586,-0.111877,0.148285,-0.003174,-0.111877,0.148254,-0.003174,-0.000023,-0.000027,-0.000046,0.000000,0.000000,0.000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,32.000000,0.000000,0.000000,0.000000,809.968933,1005.984192,-281.031586,809.968933,1005.984192,-281.031586,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,809.997375,1005.998413,-281.031586,809.997375,1005.998413,-281.031586,810.109253,1005.850159,-281.028412,809.968933,1005.984192,-281.031586,814.521179,1012.234802,-291.312592,820.125000,1015.250000,-280.750000,814.521179,1012.234802,-291.312592,-5.603821,-3.015198,-10.562592,0.125000,-0.625000,-0.875000,1.024520,1.082532,1,1,1,0,827.755066,1010.561768,-286.568756,822.375000,1007.250000,-297.125000,827.590332,1010.466858,-286.568756,5.380066,3.311768,10.556244,0.125000,-0.500000,0.375000,0.600430,0.637377,1,1,1,0
170.459707,146.940482,0.013665,0,4104,174.0,809.968933,1005.984192,-281.031586,809.774658,1006.210022,-281.034760,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,809.774658,1006.210022,-290.034760,-0.194244,0.225830,-0.003174,-0.194275,0.225830,-0.003174,-0.000023,-0.000027,-0.000046,0.000000,0.000000,0.000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,32.000000,0.000000,0.000000,0.000000,809.745605,1006.196350,-281.034760,809.745605,1006.196350,-281.034760,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,809.774658,1006.210022,-281.034760,809.774658,1006.210022,-281.034760,809.968933,1005.984192,-281.031586,809.745605,1006.196350,-281.034760,814.521179,1012.234802,-291.312592,820.125000,1015.125000,-281.000000,814.521179,1012.234802,-291.312592,-5.603821,-2.890198,-10.312592,0.000000,-0.625000,-0.750000,0.975426,0.976281,1,1,1,0,827.590332,1010.466858,-286.568756,822.375000,1007.125000,-296.875000,827.428040,1010.373352,-286.568756,5.215332,3.341858,10.306244,0.125000,-0.500000,0.375000,0.606308,0.637377,1,1,1,0
170.473327,146.954148,0.013620,0,4104,174.0,809.745605,1006.196350,-281.034760,809.657715,1006.375427,-281.037933,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,809.657715,1006.375427,-290.037933,-0.087891,0.179077,-0.003174,-0.087891,0.179077,-0.003174,-0.000023,-0.000027,-0.000046,0.000000,0.000000,0.000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,32.000000,0.000000,0.000000,0.000000,809.628784,1006.361816,-281.037933,809.628784,1006.361816,-281.037933,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,809.657715,1006.375427,-281.037933,809.657715,1006.375427,-281.037933,809.745605,1006.196350,-281.034760,809.628784,1006.361816,-281.037933,814.521179,1012.234802,-291.312592,819.875000,1015.000000,-281.250000,814.521179,1012.234802,-291.312592,-5.353821,-2.765198,-10.062592,0.000000,-0.625000,-0.750000,0.941638,0.976281,1,1,1,0,827.428040,1010.373352,-286.568756,822.250000,1007.250000,-296.625000,827.270081,1010.285034,-286.568756,5.178040,3.123352,10.056244,0.125000,-0.500000,0.375000,0.611657,0.637377,1,1,1,0
170.487531,146.967768,0.014204,0,4104,174.0,809.628784,1006.361816,-281.037933,809.524414,1006.559204,-281.103607,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,809.524414,1006.559204,-290.103607,-0.104370,0.197418,-0.065674,-0.104370,0.197388,-0.065674,-0.000023,-0.000027,-0.000046,0.000000,0.000000,0.000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,32.000000,0.000000,0.000000,0.000000,809.492432,1006.552124,-281.103607,809.492432,1006.552124,-281.103607,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,809.524414,1006.559204,-281.103607,809.524414,1006.559204,-281.103607,809.628784,1006.361816,-281.037933,809.492432,1006.552124,-281.103607,814.521179,1012.234802,-291.312592,819.875000,1014.875000,-281.375000,814.521179,1012.234802,-291.312592,-5.353821,-2.640198,-9.937592,0.000000,-0.625000,-0.625000,0.906342,0.883883,1,1,1,0,827.270081,1010.285034,-286.568756,822.125000,1007.250000,-296.375000,827.112610,1010.199890,-286.568756,5.145081,3.035034,9.806244,0.125000,-0.500000,0.375000,0.620676,0.637377,1,1,1,0
170.501160,146.981972,0.013628,0,4104,174.0,809.492432,1006.552124,-281.103607,809.371826,1006.831970,-280.981781,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,809.371826,1006.831970,-289.981781,-0.120605,0.279846,0.121826,-0.120605,0.279846,0.121826,-0.000023,-0.000027,-0.000046,0.000000,0.000000,0.000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,32.000000,0.000000,0.000000,0.000000,809.339478,1006.828552,-280.981781,809.339478,1006.828552,-280.981781,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,809.371826,1006.831970,-280.981781,809.371826,1006.831970,-280.981781,809.492432,1006.552124,-281.103607,809.339478,1006.828552,-280.981781,814.521179,1012.234802,-291.312592,819.750000,1014.750000,-281.750000,814.521179,1012.234802,-291.312592,-5.228821,-2.515198,-9.562592,0.000000,-0.625000,-0.625000,0.857080,0.883883,1,1,1,0,827.112610,1010.199890,-286.568756,822.125000,1007.125000,-296.375000,826.959351,1010.116028,-286.568756,4.987610,3.074890,9.806244,0.125000,-0.500000,0.375000,0.623015,0.637377,1,1,1,0
170.514277,146.995600,0.013117,0,4104,174.0,809.339478,1006.828552,-280.981781,809.204712,1006.941467,-281.109955,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,809.204712,1006.941467,-290.109955,-0.134735,0.112915,-0.128174,-0.134766,0.112915,-0.128174,-0.000023,-0.000027,-0.000046,0.000000,0.000000,0.000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,32.000000,0.000000,0.000000,0.000000,809.176819,1006.934937,-281.109955,809.176819,1006.934937,-281.109955,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,809.204712,1006.941467,-281.109955,809.204712,1006.941467,-281.109955,809.339478,1006.828552,-280.981781,809.176819,1006.934937,-281.109955,814.521179,1012.234802,-291.312592,819.625000,1014.875000,-281.750000,814.521179,1012.234802,-291.312592,-5.103821,-2.640198,-9.562592,0.000000,-0.625000,-0.500000,0.819364,0.800391,1,1,1,0,826.959351,1010.116028,-286.568756,822.125000,1007.250000,-295.875000,826.810303,1010.033447,-286.568756,4.834351,2.866028,9.306244,0.125000,-0.500000,0.500000,0.651364,0.718070,1,1,1,0
170.529004,147.008718,0.014727,0,4104,174.0,809.176819,1006.934937,-281.109955,809.092529,1007.194092,-281.175629,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,809.092529,1007.194092,-290.175629,-0.084259,0.259125,-0.065674,-0.084290,0.259155,-0.065674,-0.000023,-0.000027,-0.000046,0.000000,0.000000,0.000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,32.000000,0.000000,0.000000,0.000000,809.064941,1007.186707,-281.175629,809.064941,1007.186707,-281.175629,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,809.092529,1007.194092,-281.175629,809.092529,1007.194092,-281.175629,809.176819,1006.934937,-281.109955,809.064941,1007.186707,-281.175629,814.521179,1012.234802,-291.312592,819.500000,1014.625000,-282.000000,814.521179,1012.234802,-291.312592,-4.978821,-2.390198,-9.312592,0.000000,-0.625000,-0.500000,0.781512,0.800391,1,1,1,0,826.810303,1010.033447,-286.568756,822.000000,1007.125000,-295.750000,826.663452,1009.953979,-286.568756,4.810303,2.908447,9.181244,0.125000,-0.500000,0.500000,0.686580,0.718070,1,1,1,0
170.542656,147.023444,0.013652,0,4104,174.0,809.064941,1007.186707,-281.175629,808.907227,1007.406128,-281.303802,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,808.907227,1007.406128,-290.303802,-0.157684,0.219391,-0.128174,-0.157715,0.219421,-0.128174,-0.000023,-0.000027,-0.000046,0.000000,0.000000,0.000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,32.000000,0.000000,0.000000,0.000000,808.879944,1007.399292,-281.303802,808.879944,1007.399292,-281.303802,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,808.907227,1007.406128,-281.303802,808.907227,1007.406128,-281.303802,809.064941,1007.186707,-281.175629,808.879944,1007.399292,-281.303802,814.521179,1012.234802,-291.312592,819.500000,1014.625000,-282.250000,814.521179,1012.234802,-291.312592,-4.978821,-2.390198,-9.062592,0.000000,-0.625000,-0.500000,0.749586,0.800391,1,1,1,0,826.663452,1009.953979,-286.568756,822.000000,1007.125000,-295.375000,826.518799,1009.875671,-286.568756,4.663452,2.828979,8.806244,0.125000,-0.500000,0.500000,0.710267,0.718070,1,1,1,0
170.555807,147.037097,0.013151,0,4104,174.0,808.879944,1007.399292,-281.303802,808.774902,1007.454529,-281.369476,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,808.774902,1007.454529,-290.369476,-0.105011,0.055237,-0.065674,-0.105042,0.055237,-0.065674,-0.000023,-0.000027,-0.000046,0.000000,0.000000,0.000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,32.000000,0.000000,0.000000,0.000000,808.748596,1007.447937,-281.369476,808.748596,1007.447937,-281.369476,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,808.774902,1007.454529,-281.369476,808.774902,1007.454529,-281.369476,808.879944,1007.399292,-281.303802,808.748596,1007.447937,-281.369476,814.521179,1012.234802,-291.312592,819.375000,1014.750000,-282.500000,814.521179,1012.234802,-291.312592,-4.853821,-2.515198,-8.812592,0.000000,-0.500000,-0.500000,0.701721,0.707107,1,1,1,0,826.518799,1009.875671,-286.568756,821.875000,1007.250000,-295.250000,826.376343,1009.798584,-286.568756,4.643799,2.625671,8.681244,0.125000,-0.500000,0.625000,0.734789,0.810093,1,1,1,0
170.570538,147.050248,0.014731,0,4104,174.0,808.748596,1007.447937,-281.369476,808.697388,1007.589600,-281.435150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,808.697388,1007.589600,-290.435150,-0.051239,0.141693,-0.065674,-0.051208,0.141663,-0.065674,-0.000023,-0.000027,-0.000046,0.000000,0.000000,0.000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,32.000000,0.000000,0.000000,0.000000,808.671631,1007.582214,-281.435150,808.671631,1007.582214,-281.435150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,808.697388,1007.589600,-281.435150,808.697388,1007.589600,-281.435150,808.748596,1007.447937,-281.369476,808.671631,1007.582214,-281.435150,814.521179,1012.234802,-291.312592,819.250000,1014.625000,-282.750000,814.521179,1012.234802,-291.312592,-4.728821,-2.390198,-8.562592,0.000000,-0.500000,-0.375000,0.657152,0.625000,1,1,1,0,826.376343,1009.798584,-286.568756,821.750000,1007.125000,-295.000000,826.236023,1009.722656,-286.568756,4.626343,2.673584,8.431244,0.125000,-0.375000,0.625000,0.753706,0.739510,1,1,1,0
170.583706,147.064979,0.013167,0,4104,174.0,808.671631,1007.582214,-281.435150,808.550232,1007.685913,-281.625824,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,808.550232,1007.685913,-290.625824,-0.121399,0.103729,-0.190674,-0.121399,0.103699,-0.190674,-0.000023,-0.000027,-0.000046,0.000000,0.000000,0.000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,32.000000,0.000000,0.000000,0.000000,808.528809,1007.680969,-281.625824,808.528809,1007.680969,-281.625824,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,808.550232,1007.685913,-281.625824,808.550232,1007.685913,-281.625824,808.671631,1007.582214,-281.435150,808.528809,1007.680969,-281.625824,814.521179,1012.234802,-291.312592,819.250000,1014.625000,-282.750000,814.521179,1012.234802,-291.312592,-4.728821,-2.390198,-8.562592,0.000000,-0.500000,-0.375000,0.598643,0.625000,1,1,1,0,826.236023,1009.722656,-286.568756,821.750000,1007.125000,-294.750000,826.097778,1009.647827,-286.568756,4.486023,2.597656,8.181244,0.125000,-0.375000,0.625000,0.766020,0.739510,1,1,1,0
170.598894,147.078146,0.015188,0,4104,174.0,808.528809,1007.680969,-281.625824,808.463257,1007.872314,-281.691498,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,808.463257,1007.872314,-290.691498,-0.065521,0.191315,-0.065674,-0.065552,0.191345,-0.065674,-0.000023,-0.000027,-0.000046,0.000000,0.000000,0.000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,32.000000,0.000000,0.000000,0.000000,808.444275,1007.864746,-281.691498,808.444275,1007.864746,-281.691498,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,808.463257,1007.872314,-281.691498,808.463257,1007.872314,-281.691498,808.528809,1007.680969,-281.625824,808.444275,1007.864746,-281.691498,814.521179,1012.234802,-291.312592,819.125000,1014.500000,-283.125000,814.521179,1012.234802,-291.312592,-4.603821,-2.265198,-8.187592,0.000000,-0.500000,-0.375000,0.555518,0.625000,1,1,1,0,826.097778,1009.647827,-286.568756,821.625000,1007.000000,-294.625000,825.961609,1009.574158,-286.568756,4.472778,2.647827,8.056244,0.125000,-0.375000,0.625000,0.773381,0.739510,1,1,1,0
170.612098,147.093334,0.013204,0,4104,174.0,808.444275,1007.864746,-281.691498,808.248169,1007.956726,-281.757172,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,808.248169,1007.956726,-290.757172,-0.196106,0.091980,-0.065674,-0.196106,0.091980,-0.065674,-0.000023,-0.000027,-0.000046,0.000000,0.000000,0.000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,32.000000,0.000000,0.000000,0.000000,808.226685,1007.948486,-281.757172,808.226685,1007.948486,-281.757172,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,808.248169,1007.956726,-281.757172,808.248169,1007.956726,-281.757172,808.444275,1007.864746,-281.691498,808.226685,1007.948486,-281.757172,814.521179,1012.234802,-291.312592,819.125000,1014.625000,-283.375000,814.521179,1012.234802,-291.312592,-4.603821,-2.390198,-7.937592,0.000000,-0.375000,-0.250000,0.522258,0.450694,1,1,1,0,825.961609,1009.574158,-286.568756,821.750000,1007.000000,-294.375000,825.829407,1009.499695,-286.568756,4.211609,2.574158,7.806244,0.125000,-0.375000,0.625000,0.786354,0.739510,1,1,1,0
170.625252,147.106538,0.013155,0,4104,174.0,808.226685,1007.948486,-281.757172,808.151978,1008.003235,-281.947845,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,808.151978,1008.003235,-290.947845,-0.074707,0.054749,-0.190674,-0.074707,0.054749,-0.190674,-0.000023,-0.000027,-0.000046,0.000000,0.000000,0.000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,32.000000,0.000000,0.000000,0.000000,808.125671,1007.994995,-281.947845,808.125671,1007.994995,-281.947845,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,808.151978,1008.003235,-281.947845,808.151978,1008.003235,-281.947845,808.226685,1007.948486,-281.757172,808.125671,1007.994995,-281.947845,814.521179,1012.234802,-291.312592,819.000000,1014.625000,-283.375000,814.521179,1012.234802,-291.312592,-4.478821,-2.390198,-7.937592,0.000000,-0.375000,-0.250000,0.488440,0.450694,1,1,1,0,825.829407,1009.499695,-286.568756,821.500000,1007.000000,-294.125000,825.697266,1009.426331,-286.568756,4.329407,2.499695,7.556244,0.125000,-0.375000,0.625000,0.802447,0.739510,1,1,1,0
170.640410,147.119693,0.015158,0,4104,174.0,808.125671,1007.994995,-281.947845,808.047363,1008.200562,-282.013519,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,808.047363,1008.200562,-291.013519,-0.078278,0.205566,-0.065674,-0.078308,0.205566,-0.065674,-0.000023,-0.000027,-0.000046,0.000000,0.000000,0.000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,32.000000,0.000000,0.000000,0.000000,808.018921,1008.192993,-282.013519,808.018921,1008.192993,-282.013519,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,808.047363,1008.200562,-282.013519,808.047363,1008.200562,-282.013519,808.125671,1007.994995,-281.947845,808.018921,1008.192993,-282.013519,814.521179,1012.234802,-291.312592,818.875000,1014.500000,-283.750000,814.521179,1012.234802,-291.312592,-4.353821,-2.265198,-7.562592,0.000000,-0.375000,-0.250000,0.450049,0.450694,1,1,1,0,825.697266,1009.426331,-286.568756,821.500000,1006.750000,-294.000000,825.568970,1009.352234,-286.568756,4.197266,2.676331,7.431244,0.125000,-0.375000,0.750000,0.829482,0.847791,1,1,1,0
170.653576,147.134851,0.013166,0,4104,174.0,808.018921,1008.192993,-282.013519,808.001465,1008.299011,-282.329193,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,808.001465,1008.299011,-291.329193,-0.017426,0.106018,-0.315674,-0.017456,0.106018,-0.315674,-0.000023,-0.000027,-0.000046,0.000000,0.000000,0.000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,32.000000,0.000000,0.000000,0.000000,807.973511,1008.290771,-282.329193,807.973511,1008.290771,-282.329193,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,808.001465,1008.299011,-282.329193,808.001465,1008.299011,-282.329193,808.018921,1008.192993,-282.013519,807.973511,1008.290771,-282.329193,814.521179,1012.234802,-291.312592,818.750000,1014.625000,-283.750000,814.521179,1012.234802,-291.312592,-4.228821,-2.390198,-7.562592,0.000000,-0.375000,-0.250000,0.420565,0.450694,1,1,1,0,825.568970,1009.352234,-286.568756,821.375000,1006.750000,-293.500000,825.442627,1009.277344,-286.568756,4.193970,2.602234,6.931244,0.125000,-0.500000,0.750000,0.860441,0.910014,1,1,1,0
